epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.151,0.22419,1.63059,0.93064,0.45445,0.68277,0.58196,0.55102,0.32664,1.22907,0.5354,0.000369795,0.000369795,0.000369795
2,819.144,0.16498,0.9217,0.87869,0.45881,0.50909,0.44566,0.36183,0.51049,1.86516,0.71793,0.000710819,0.000710819,0.000710819
3,1241.89,0.15734,0.82423,0.8788,0.51675,0.5358,0.52945,0.49579,0.28874,1.39277,0.51176,0.00102251,0.00102251,0.00102251
4,1681.28,0.1464,0.76677,0.87314,0.52661,0.68696,0.65454,0.62471,0.3731,0.87939,0.60067,0.000979013,0.000979013,0.000979013
5,2108.18,0.13301,0.71362,0.87094,0.58172,0.64146,0.62952,0.60523,0.28312,0.91307,0.48622,0.000935018,0.000935018,0.000935018
6,2547.36,0.11817,0.66429,0.86505,0.68663,0.65331,0.68387,0.63895,0.33092,0.90655,0.55218,0.000891022,0.000891022,0.000891022
7,2994.48,0.1109,0.63055,0.86114,0.55727,0.60983,0.6235,0.58772,0.34246,1.22488,0.52859,0.000847026,0.000847026,0.000847026
8,3425.02,0.10519,0.59835,0.85879,0.64694,0.60881,0.65925,0.63467,0.34227,0.93306,0.55096,0.000803031,0.000803031,0.000803031
9,3864.17,0.09921,0.57283,0.8574,0.72219,0.69131,0.72823,0.71153,0.32112,0.89899,0.46868,0.000759035,0.000759035,0.000759035
10,4293.72,0.09653,0.55675,0.85641,0.65855,0.71112,0.70883,0.68049,0.3599,1.10312,0.53832,0.00071504,0.00071504,0.00071504
11,4725,0.09016,0.53325,0.85419,0.76393,0.61891,0.75322,0.73297,0.2964,0.87783,0.49737,0.000671044,0.000671044,0.000671044
12,5150.9,0.08758,0.52252,0.85314,0.70645,0.65309,0.70247,0.67104,0.34403,0.8979,0.53803,0.000627048,0.000627048,0.000627048
13,5586.08,0.08384,0.50005,0.85297,0.66401,0.69017,0.70555,0.68575,0.28575,1.01208,0.465,0.000583053,0.000583053,0.000583053
14,6012.95,0.08111,0.48297,0.85355,0.6143,0.79508,0.70366,0.68271,0.3061,1.10397,0.51089,0.000539057,0.000539057,0.000539057
15,6441.22,0.07889,0.46958,0.85257,0.72816,0.73817,0.76211,0.74167,0.2923,0.87932,0.48603,0.000495062,0.000495062,0.000495062
16,6905.77,0.05836,0.31051,0.842,0.73851,0.69723,0.77819,0.76241,0.30155,0.96222,0.49056,0.000451066,0.000451066,0.000451066
17,7333.21,0.05434,0.29125,0.83678,0.78,0.72794,0.79005,0.77881,0.23372,0.88761,0.40956,0.00040707,0.00040707,0.00040707
18,7759.96,0.04986,0.26255,0.83608,0.64333,0.75622,0.72497,0.71919,0.18958,0.91183,0.35318,0.000363075,0.000363075,0.000363075
19,8198.39,0.04772,0.24275,0.83834,0.77741,0.73237,0.79583,0.79104,0.20843,0.88059,0.36655,0.000319079,0.000319079,0.000319079
20,8620.03,0.04367,0.22047,0.83873,0.79715,0.75013,0.81596,0.81144,0.21779,0.86545,0.37434,0.000275084,0.000275084,0.000275084
21,9045.67,0.04143,0.20898,0.83683,0.79248,0.73486,0.82063,0.81503,0.1897,0.88708,0.33847,0.000231088,0.000231088,0.000231088
22,9475.96,0.0391,0.18775,0.8332,0.74266,0.79245,0.8195,0.81704,0.2009,0.85153,0.35064,0.000187092,0.000187092,0.000187092
23,9895.44,0.03649,0.17452,0.83462,0.84584,0.71934,0.82026,0.81726,0.19102,0.94518,0.34068,0.000143097,0.000143097,0.000143097
24,10323.2,0.03398,0.16045,0.83596,0.80275,0.74538,0.82602,0.82355,0.19706,0.91555,0.34683,9.91012e-05,9.91012e-05,9.91012e-05
25,10754.2,0.03165,0.14854,0.83645,0.76341,0.77089,0.82997,0.82827,0.19507,0.91262,0.3435,5.51056e-05,5.51056e-05,5.51056e-05
